CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O        PIDS
b70f8c31749f   jsonbench-grafana-1    1.01%     71.79MiB / 27.2GiB   0.26%     35.6kB / 16.6kB   19.8MB / 254kB   19
567bb60ea6e3   jsonbench-postgres-1   0.60%     48.6MiB / 27.2GiB    0.17%     84B / 0B          664kB / 68.4MB   6
61f6acea9a1b   jsonbench-mongodb-1    0.39%     78.92MiB / 27.2GiB   0.28%     84B / 0B          0B / 1.6MB       33
f69071d34d58   prometheus             0.00%     65.73MiB / 27.2GiB   0.24%     4.97MB / 94.7kB   0B / 0B          13
e70c8e1f6076   cadvisor               1.91%     51.12MiB / 27.2GiB   0.18%     94.7kB / 4.97MB   0B / 0B          16
 Container jsonbench-mongodb-1  Running
 Container jsonbench-postgres-1  Recreate
 Container jsonbench-postgres-1  Recreated
 Container jsonbench-client-8  Creating
 Container jsonbench-client-5  Creating
 Container jsonbench-client-4  Creating
 Container jsonbench-client-7  Creating
 Container jsonbench-client-3  Creating
 Container jsonbench-client-6  Creating
 Container jsonbench-client-2  Creating
 Container jsonbench-client-1  Creating
 Container jsonbench-client-7  Created
 Container jsonbench-client-1  Created
 Container jsonbench-client-8  Created
 Container jsonbench-client-2  Created
 Container jsonbench-client-6  Created
 Container jsonbench-client-4  Created
 Container jsonbench-client-3  Created
 Container jsonbench-client-5  Created
Attaching to client-1, client-2, client-3, client-4, client-5, client-6, client-7, client-8
client-1  | Current Mongosh Log ID:	67b1a38856885e8b1a76d90b
client-1  | Using Mongosh:		2.0.2
client-1  | 
client-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-1  | 
client-1  | 
client-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-1  | You can opt-out by running the disableTelemetry() command.
client-1  | 
client-1  | Loading file: /dir/lib.js
client-4  | Current Mongosh Log ID:	67b1a3892f626d1ab0f2d6d5
client-4  | Using Mongosh:		2.0.2
client-4  | 
client-4  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-4  | 
client-4  | 
client-4  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-4  | You can opt-out by running the disableTelemetry() command.
client-4  | 
client-4  | Loading file: /dir/lib.js
client-6  | Current Mongosh Log ID:	67b1a38ad1b2b23f318f64e9
client-6  | Using Mongosh:		2.0.2
client-6  | 
client-6  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-6  | 
client-6  | 
client-6  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-6  | You can opt-out by running the disableTelemetry() command.
client-6  | 
client-1  | 📚 lib.js loaded
client-6  | Loading file: /dir/lib.js
client-1  | [2025-02-16T08:36:26.764Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100000 documents of 1000 bytes * 10 fields
client-2  | Current Mongosh Log ID:	67b1a38a1b15e9dc3567add2
client-4  | 📚 lib.js loaded
