CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O     PIDS
c229d4c7b2bf   jsonbench-grafana-1    1.05%     74MiB / 27.2GiB      0.27%     341kB / 308kB    0B / 479kB    17
4e9f1a448097   jsonbench-mongodb-1    0.35%     603.2MiB / 27.2GiB   2.17%     522MB / 9.07MB   0B / 1.52GB   33
0edafa941380   jsonbench-postgres-1   0.00%     47.96MiB / 27.2GiB   0.17%     378B / 0B        0B / 68.5MB   6
185246786a55   prometheus             0.04%     86.29MiB / 27.2GiB   0.31%     5.01MB / 156kB   0B / 0B       14
d13dba243915   cadvisor               3.58%     54MiB / 27.2GiB      0.19%     94.4kB / 4.9MB   0B / 0B       15
 Container jsonbench-postgres-1  Running
 Container jsonbench-mongodb-1  Running
 Container jsonbench-client-5  Recreate
 Container jsonbench-client-2  Recreate
 Container jsonbench-client-3  Recreate
 Container jsonbench-client-1  Recreate
 Container jsonbench-client-4  Recreate
 Container jsonbench-client-3  Recreated
 Container jsonbench-client-4  Recreated
 Container jsonbench-client-5  Recreated
 Container jsonbench-client-2  Recreated
 Container jsonbench-client-1  Recreated
Attaching to client-1, client-2, client-3, client-4, client-5
client-2  | Current Mongosh Log ID:	67b0f7cecbb3d7b45918d989
client-2  | Using Mongosh:		2.0.2
client-2  | 
client-2  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-2  | 
client-2  | 
client-2  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-2  | You can opt-out by running the disableTelemetry() command.
client-2  | 
client-2  | Loading file: /dir/lib.js
client-3  | Current Mongosh Log ID:	67b0f7cf7242e30590089602
client-3  | Using Mongosh:		2.0.2
client-3  | 
client-3  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-3  | 
client-3  | 
client-3  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-3  | You can opt-out by running the disableTelemetry() command.
client-3  | 
client-3  | Loading file: /dir/lib.js
client-1  | Current Mongosh Log ID:	67b0f7d0618e7916f2c330fd
client-2  | 📚 lib.js loaded
client-2  | [2025-02-15T20:23:44.743Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 10000 documents of 1000 bytes * 10 fields
client-1  | Using Mongosh:		2.0.2
client-1  | 
client-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-1  | 
client-1  | 
client-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-1  | You can opt-out by running the disableTelemetry() command.
client-1  | 
client-1  | Loading file: /dir/lib.js
client-4  | Current Mongosh Log ID:	67b0f7d00384d4c0bdeeae56
client-3  | 📚 lib.js loaded
client-3  | [2025-02-15T20:23:45.376Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 10000 documents of 1000 bytes * 10 fields
client-4  | Using Mongosh:		2.0.2
client-4  | 
client-4  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-4  | 
client-4  | 
client-4  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-4  | You can opt-out by running the disableTelemetry() command.
client-4  | 
client-4  | Loading file: /dir/lib.js
client-5  | Current Mongosh Log ID:	67b0f7d1ba722106453a7c71
