CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
faaf8be7a1e8   jsonbench-grafana-1    0.93%     59.89MiB / 27.2GiB   0.22%     24.6kB / 8.27kB   0B / 176kB    14
063f04e7de78   jsonbench-mongodb-1    0.36%     80.12MiB / 27.2GiB   0.29%     42B / 0B          0B / 578kB    34
17edc118625b   jsonbench-postgres-1   0.02%     42.99MiB / 27.2GiB   0.15%     42B / 0B          0B / 67.6MB   6
3ac119a28259   prometheus             0.00%     17.84MiB / 27.2GiB   0.06%     42B / 0B          0B / 0B       13
79ae8d2fe3fe   cadvisor               3.19%     19.14MiB / 27.2GiB   0.07%     42B / 0B          0B / 0B       15
 Container jsonbench-postgres-1  Running
 Container jsonbench-mongodb-1  Running
 Container jsonbench-client-5  Creating
 Container jsonbench-client-2  Creating
 Container jsonbench-client-1  Creating
 Container jsonbench-client-3  Creating
 Container jsonbench-client-4  Creating
 Container jsonbench-client-3  Created
 Container jsonbench-client-5  Created
 Container jsonbench-client-2  Created
 Container jsonbench-client-1  Created
 Container jsonbench-client-4  Created
Attaching to client-1, client-2, client-3, client-4, client-5
client-4  | Current Mongosh Log ID:	67b11979e991672f532dfd02
client-4  | Using Mongosh:		2.0.2
client-4  | 
client-4  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-4  | 
client-4  | 
client-4  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-4  | You can opt-out by running the disableTelemetry() command.
client-4  | 
client-4  | Loading file: /dir/lib.js
client-1  | Current Mongosh Log ID:	67b1197ae4794cbb4201aca1
client-1  | Using Mongosh:		2.0.2
client-1  | 
client-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-1  | 
client-1  | 
client-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-1  | You can opt-out by running the disableTelemetry() command.
client-1  | 
client-1  | Loading file: /dir/lib.js
client-3  | Current Mongosh Log ID:	67b1197bb74771cbd740afb3
client-4  | 📚 lib.js loaded
client-4  | [2025-02-15T22:47:23.651Z] 🚀 Starting data insertion into mongodb://mongodb:27017 for 100 documents of 1000 bytes * 10 fields
client-3  | Using Mongosh:		2.0.2
client-3  | 
client-3  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-3  | 
client-3  | 
client-3  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-3  | You can opt-out by running the disableTelemetry() command.
