CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
629e8389d041   jsonbench-grafana-1    0.87%     69.93MiB / 27.2GiB   0.25%     106kB / 51kB      0B / 831kB    16
223b262d9cb8   jsonbench-postgres-1   0.57%     48.16MiB / 27.2GiB   0.17%     462B / 0B         0B / 68.5MB   6
a31e5af9520f   jsonbench-mongodb-1    0.28%     496.6MiB / 27.2GiB   1.78%     8.36GB / 146MB    0B / 24.1GB   33
899603c3ee14   prometheus             0.03%     75.98MiB / 27.2GiB   0.27%     79.3MB / 1.48MB   0B / 12.3kB   14
8069b34b1856   cadvisor               4.97%     60.52MiB / 27.2GiB   0.22%     1.48MB / 79.3MB   0B / 0B       17
 Container jsonbench-mongodb-1  Running
 Container jsonbench-postgres-1  Running
 Container jsonbench-client-6  Recreate
 Container jsonbench-client-1  Recreate
 Container jsonbench-client-3  Recreate
 Container jsonbench-client-2  Recreate
 Container jsonbench-client-4  Recreate
 Container jsonbench-client-8  Recreate
 Container jsonbench-client-7  Recreate
 Container jsonbench-client-5  Recreate
 Container jsonbench-client-5  Recreated
 Container jsonbench-client-4  Recreated
 Container jsonbench-client-1  Recreated
 Container jsonbench-client-3  Recreated
 Container jsonbench-client-7  Recreated
 Container jsonbench-client-2  Recreated
 Container jsonbench-client-8  Recreated
 Container jsonbench-client-6  Recreated
Attaching to client-1, client-2, client-3, client-4, client-5, client-6, client-7, client-8
client-8  | Current Mongosh Log ID:	67b141ce7e16d1936de6d182
client-8  | Using Mongosh:		2.0.2
client-8  | 
client-8  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-8  | 
client-8  | 
client-8  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-8  | You can opt-out by running the disableTelemetry() command.
client-8  | 
client-8  | Loading file: /dir/lib.js
client-1  | Current Mongosh Log ID:	67b141ceb072daf0d7824d4c
client-1  | Using Mongosh:		2.0.2
client-1  | 
client-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-1  | 
client-1  | 
client-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-1  | You can opt-out by running the disableTelemetry() command.
client-1  | 
client-1  | Loading file: /dir/lib.js
client-4  | Current Mongosh Log ID:	67b141cfd4663fb33a0a6962
client-8  | 📚 lib.js loaded
client-8  | [2025-02-16T01:39:27.778Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 100000 documents of 1000 bytes * 10 fields
client-4  | Using Mongosh:		2.0.2
client-4  | 
client-4  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-4  | 
client-4  | 
client-4  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-4  | You can opt-out by running the disableTelemetry() command.
client-4  | 
client-4  | Loading file: /dir/lib.js
client-2  | Current Mongosh Log ID:	67b141d0334714484af1ede4
client-1  | 📚 lib.js loaded
client-1  | [2025-02-16T01:39:28.779Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 100000 documents of 1000 bytes * 10 fields
client-2  | Using Mongosh:		2.0.2
client-2  | 
client-2  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-2  | 
client-2  | 
client-2  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-2  | You can opt-out by running the disableTelemetry() command.
client-2  | 
client-2  | Loading file: /dir/lib.js
client-5  | Current Mongosh Log ID:	67b141d14c00097b0618e0fd
client-5  | Using Mongosh:		2.0.2
client-5  | 
client-5  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-5  | 
client-5  | 
client-5  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-5  | You can opt-out by running the disableTelemetry() command.
client-5  | 
client-4  | 📚 lib.js loaded
client-4  | [2025-02-16T01:39:29.704Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 100000 documents of 1000 bytes * 10 fields
client-5  | Loading file: /dir/lib.js
client-3  | Current Mongosh Log ID:	67b141d1c3a293bffd37894e
client-3  | Using Mongosh:		2.0.2
client-3  | 
client-3  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-3  | 
client-3  | 
client-3  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-3  | You can opt-out by running the disableTelemetry() command.
client-3  | 
client-6  | Current Mongosh Log ID:	67b141d2ab5b8d6cd71be866
client-3  | Loading file: /dir/lib.js
client-2  | 📚 lib.js loaded
client-2  | [2025-02-16T01:39:30.628Z] 🚀 Starting data insertion into postgres://postgres:xxx@postgres:5432/postgres for 100000 documents of 1000 bytes * 10 fields
client-6  | Using Mongosh:		2.0.2
client-6  | 
client-6  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-6  | 
client-6  | 
client-6  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-6  | You can opt-out by running the disableTelemetry() command.
client-6  | 
client-6  | Loading file: /dir/lib.js
client-5  | 📚 lib.js loaded
client-7  | Current Mongosh Log ID:	67b141d3a8a4013fad31cd3b
