CONTAINER ID   NAME                   CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cfec55e07aad   jsonbench-postgres-1   0.05%     126.4MiB / 9GiB      1.37%     1.57kB / 1.81kB   0B / 67.1MB   6
4b9d398ff9c9   jsonbench-mongodb-1    0.37%     78.99MiB / 9GiB      0.86%     5.54kB / 8.02kB   0B / 651kB    34
7fa846c9a121   jsonbench-grafana-1    0.89%     71.04MiB / 27.2GiB   0.26%     540kB / 3.59MB    0B / 705kB    13
bb180ef6c39e   prometheus             0.00%     83.8MiB / 27.2GiB    0.30%     6.81MB / 241kB    0B / 0B       13
fff8ce096137   cadvisor               3.26%     55.38MiB / 27.2GiB   0.20%     127kB / 6.6MB     0B / 0B       16
mongodb-init-1  | Current Mongosh Log ID:	67bbad4700fd9bf28e0420ae
mongodb-init-1  | Connecting to:		mongodb://mongodb:27017/?directConnection=true&appName=mongosh+2.0.2
mongodb-init-1  | Using MongoDB:		7.0.16
mongodb-init-1  | Using Mongosh:		2.0.2
mongodb-init-1  | 
mongodb-init-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
mongodb-init-1  | 
mongodb-init-1  | 
mongodb-init-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
mongodb-init-1  | You can opt-out by running the disableTelemetry() command.
mongodb-init-1  | 
mongodb-init-1  | ------
mongodb-init-1  |    The server generated these startup warnings when booting
mongodb-init-1  |    2025-02-23T23:20:39.146+00:00: Access control is not enabled for the database. Read and write access to data and configuration is unrestricted
mongodb-init-1  |    2025-02-23T23:20:39.147+00:00: vm.max_map_count is too low
mongodb-init-1  | ------
mongodb-init-1  | 
mongodb-init-1  | Loading file: /dir/init.js
 Container jsonbench-mongodb-1  Running
 Container jsonbench-postgres-1  Running
 Container jsonbench-client-1  Creating
 Container jsonbench-client-1  Created
Attaching to client-1
client-1  | Current Mongosh Log ID:	67bbad4c36ab979fa68ff730
client-1  | Using Mongosh:		2.0.2
client-1  | 
client-1  | For mongosh info see: https://docs.mongodb.com/mongodb-shell/
client-1  | 
client-1  | 
client-1  | To help improve our products, anonymous usage data is collected and sent to MongoDB periodically (https://www.mongodb.com/legal/privacy-policy).
client-1  | You can opt-out by running the disableTelemetry() command.
client-1  | 
client-1  | Loading file: /dir/lib.js
client-1  | 📚 lib.js loaded
client-1  | [2025-02-23T23:20:45.769Z] 🚀 Starting query from mongodb://mongodb:27017 for 1000 documents
client-1  | [227feac23678] MongoDB (0%) - query throughput: 0.00 docs/sec
client-1  | [227feac23678] MongoDB (0%) - query throughput: 0.00 docs/sec
client-1  | [227feac23678] MongoDB (0%) - query throughput: 0.00 docs/sec
client-1  | [227feac23678] MongoDB (0%) - query throughput: 0.00 docs/sec
